survey_num,survey_gender,survey_age,survey_exp,survey_drink_type,survey_drink_name,survey_taste_sweet,survey_taste_sour,survey_taste_body,survey_taste_soda,survey_material,survey_alcohole,survey_price
188,0,30,1,1,과하주,4,4,3,0,3,20,15000
189,0,30,1,2,머루와인,4,1,2,1,2,5,15000
190,0,25,1,1,이상헌약주,3,1,4,0,2,15,15000
191,0,25,1,3,풍정사계,4,3,3,0,3,15,15000
192,0,25,0,,,0,0,0,0,0,5,5000
193,0,35,0,,,0,0,0,1,0,0,5000
194,0,30,0,2,스파클링 와인...?,4,3,3,1,0,10,15000
195,0,30,0,,,0,0,0,1,4,0,5000
196,0,30,0,,,3,2,3,1,0,15,5000
197,1,35,0,,,3,0,2,1,0,10,15000
198,0,25,0,,,3,2,3,0,0,15,5000
199,0,25,1,0,삼호막걸리,4,3,3,1,2,10,5000
200,0,30,0,,,1,1,4,0,0,20,45000
201,0,25,0,,,3,1,1,1,0,10,5000
202,1,25,0,,,3,0,0,0,0,0,15000
203,0,30,1,3,토끼,2,0,1,0,0,30,45000
204,0,25,1,3,려,1,1,4,0,2,20,75000
205,1,20,0,,,3,1,2,1,0,5,15000
206,1,30,1,0,지역별 막걸리 다수(상세명 기억 안남),4,3,3,1,0,5,15000
207,1,20,0,,,2,0,3,0,0,15,5000
208,1,30,1,3,화요 / 근데 한국 술만 골라야되나요? 위스키 다 전통주 아닌가,1,1,3,0,2,40,15000
209,0,30,1,0,부자막걸리,2,2,3,0,0,15,5000
210,0,25,1,3,화요,4,3,2,0,0,5,5000
211,0,35,1,2,,3,2,2,1,0,5,5000
212,0,30,0,,,3,0,4,0,0,15,5000
213,0,20,1,3,기억안나요~,3,2,4,1,0,20,45000
214,0,25,1,0,,0,0,2,0,3,15,5000
215,0,25,0,,,3,3,3,1,0,0,5000
216,1,20,1,3,화요 일품진로  닷사이,3,2,3,0,0,15,75000
217,0,25,1,0,호랑이배꼽 막걸리,4,1,3,1,2,0,5000
218,1,30,1,3,진도홍주,3,1,3,0,3,0,15000
219,0,25,1,2,예산사과와인,3,4,1,1,0,0,15000
220,0,25,1,0,화요,3,2,4,0,2,20,45000
221,0,25,1,2,복분자,2,3,3,0,3,10,5000
222,0,30,1,2,일본소주 ( 마왕 ) ,3,2,2,0,2,10,5000
223,1,25,1,0,"개도막걸리, 골목막걸리, 복순도가",3,0,4,1,2,40,100000
224,0,30,0,,,0,0,0,1,0,0,5000
225,0,30,0,,,4,1,2,0,0,0,5000
226,0,25,1,3,화요,2,3,4,0,2,20,75000
227,0,30,0,,,3,1,4,1,2,20,15000
228,1,25,1,0,해창,3,1,3,1,2,5,15000
229,1,30,1,1,고흥유자주,3,2,2,1,2,5,5000
230,1,20,0,,,4,1,2,0,2,0,5000
231,1,20,1,2,,3,1,2,0,0,0,15000
232,0,25,1,3,누가 준거라 기억나지 않습니다,2,1,3,1,2,15,15000
233,0,25,1,1,한산소곡주,4,3,3,0,2,40,45000
234,0,20,1,0,비아막걸리,3,1,3,1,0,15,5000
235,0,30,1,3,원소주 초판 / 홈메이드 담금주 ,2,0,3,1,0,20,100000
