poll_num,poll_taste_sweet,poll_taste_sour,poll_taste_body,poll_alcohol,poll_gender,poll_age,poll_purch,poll_sell,"poll_rpurch
",poll_wish
125,3,5,5,20,여,30 ~ 34,TRUE,안동소주,TRUE,깔끔한 화면 및 분류
126,3,2,2,20,여,25 ~ 29,TRUE,"경주 법주, 막걸리 등등",TRUE,그 전통주와 어울리는 안주!
127,2,2,2,10,여,25 ~ 29,TRUE,,TRUE,
128,3,5,2,20,여,30 ~ 34,FALSE,구매경험 없음,,전통주 판매처 연동해주었음 좋겠어여! (예: 구매하고 싶은 전통주 판매중인 편의점을 알려주는거?)
129,4,0,3,20,여,30 ~ 34,FALSE,,,
130,3,1,3,20,여,25 ~ 29,FALSE,,,어떠한 지역에 어떤 전통주가 유명한지 알려줬으면 좋겠습니다.
131,4,1,5,20,남,25 ~ 29,FALSE,,FALSE,
132,4,3,5,30,남,35 ~ 39,TRUE,"홍주, 이강주",TRUE,"일제강점기, 625전쟁 이후 지역의 술도가가 굉장히 힘든 시간을 겪고 있었습니다. 전통주 판매 뿐만 아니라, 백그라운드도 같이 이야기해주실 수 있다면 좋을 것 같습니다!"
133,4,2,2,10,남,30 ~ 34,TRUE,모주? 도 전통주맞...죠?,TRUE,너 내 동료가 돼라
134,0,0,0,40이상,남,25 ~ 29,TRUE,화요,TRUE,깔끔한 증류수를 원합니다
135,2,0,3,40이상,남,20 ~ 24,FALSE,,,
136,3,0,3,30,남,30 ~ 34,TRUE,소주,TRUE,"이 술은 어느시대부터 시작하여, 누구에게 전수되어, 지금 현재 어떤 공정으로 제작이 되는가 하는 서사성."
137,3,1,3,30,여,50 이상,TRUE,진도홍주,FALSE,
138,0,0,3,20,남,25 ~ 29,TRUE,화요,TRUE,
139,3,3,3,10,여,20 ~ 24,TRUE,정확히 기억이 안남,TRUE,전통주에 얽힌 이야기가 있으면 더 재미있을듯요
140,1,0,4,40이상,남,30 ~ 34,FALSE,,TRUE,
141,4,2,3,5,남,30 ~ 34,FALSE,,FALSE,없습니다
142,4,1,3,20,여,30 ~ 34,TRUE,모주,FALSE,
143,3,1,3,30,남,20 ~ 24,FALSE,,FALSE,
144,4,2,0,10,남,20 ~ 24,FALSE,,FALSE,
145,1,2,4,30,여,20 ~ 24,FALSE,,FALSE,
146,3,3,4,5,남,30 ~ 34,TRUE,홍주,TRUE,
147,3,2,4,5,남,30 ~ 34,TRUE,막걸리,FALSE,술찌들을 위한 전통주가 없는 것 같아서 아쉽
148,2,1,4,40이상,남,25 ~ 29,TRUE,홍주,TRUE,종류가 많고 술에 대한 자세한 설명이 있으면 좋겠습니다.
149,3,1,2,10,여,25 ~ 29,FALSE,,FALSE,술을 잘 못 마시는 사람도 마실 수 있는 전통주를 추천해주세요
150,2,2,3,10,남,20 ~ 24,FALSE,,,
151,4,3,3,10,남,25 ~ 29,FALSE,,FALSE,
152,0,0,0,5,남,25 ~ 29,FALSE,,,
153,1,1,1,30,남,20 ~ 24,FALSE,,FALSE,
154,4,3,4,30,남,25 ~ 29,FALSE,,,
155,2,2,5,40이상,남,25 ~ 29,FALSE,,FALSE,
156,5,5,5,40이상,남,30 ~ 34,FALSE,,,
157,2,1,5,30,남,30 ~ 34,TRUE,막걸리,TRUE,
158,4,0,0,30,남,25 ~ 29,TRUE,유자막걸리,TRUE,다양한 선택지
159,3,0,3,10,여,25 ~ 29,FALSE,,,
160,4,1,1,5,남,25 ~ 29,FALSE,,FALSE,
161,4,2,4,20,남,20 ~ 24,FALSE,,,
162,4,1,2,5,여,20 ~ 24,FALSE,,,
163,2,4,4,10,남,20 ~ 24,FALSE,없음,FALSE,
164,4,0,2,5,여,25 ~ 29,FALSE,,,
165,2,2,3,20,남,30 ~ 34,TRUE,샤케,TRUE,우리나라 술뿐만 아니라 다양한 국가가 있으면 좋겠습니다.
166,3,2,3,5,남,20 ~ 24,FALSE,,,
167,4,2,3,10,남,20 ~ 24,FALSE,,FALSE,
168,4,0,1,10,여,25 ~ 29,FALSE,,,인기도!!
169,3,2,3,5,남,25 ~ 29,FALSE,,,
170,4,3,5,20,남,30 ~ 34,TRUE,동동주,FALSE,
171,5,2,2,10,여,30 ~ 34,TRUE,이강주,TRUE,다양한 전통주를 소개해주는 사이트가 있었으면 좋겠습니다
172,3,2,4,10,여,30 ~ 34,FALSE,,,전 지역에 배송해주는 서비스!!!
173,5,0,5,10,여,30 ~ 34,TRUE,매실막걸리,TRUE,알쓰도 좋아할만한 전통주를 소개해줬으면 좋겠습니다
174,5,0,3,10,남,20 ~ 24,TRUE,무등산 막걸리,TRUE,"전통주에 대해서 더 자세히 알아보고 싶습니다. 카테고리를 잘 분류해서 소주, 막걸리 등 알고 싶습니다! 그리고 마트에서 파는게 한정적이라서 어디가서 먹을 수 있는지도 알면 좋을 거 같아요!"
175,4,1,2,10,남,30 ~ 34,FALSE,,FALSE,맛있는 전통주...?
176,3,1,2,20,남,25 ~ 29,TRUE,경주법주,TRUE,
177,4,2,3,5,여,30 ~ 34,FALSE,,FALSE,
178,5,3,3,40이상,남,20 ~ 24,FALSE,,FALSE,술한병만 사쥬세요
179,2,0,5,30,남,25 ~ 29,TRUE,오매락,TRUE,각 지역의 숨어있는 다양한 전통주들을 생생하게 소개해주셨으면 좋겠습니다!
180,4,1,3,30,남,20 ~ 24,FALSE,,FALSE,
181,5,1,3,10,여,20 ~ 24,FALSE,,,소개뿐만아니라 소비자들의 후기또한 볼 수 있으면 좋겠다는 생각이 있습니다
182,4,1,2,5,남,25 ~ 29,FALSE,,,
183,3,1,3,20,남,25 ~ 29,FALSE,,,
184,3,1,4,5,남,25 ~ 29,FALSE,구매 안햇습니다,FALSE,안사봐서 잘은 모르겠습니다 죄송합니다 열심히 하세요~~
185,1,0,3,10,여,45 ~ 49,TRUE,알밤막걸리,TRUE,
186,3,1,4,5,여,25 ~ 29,FALSE,,,
