survey_num,survey_gender,survey_age,survey_exp,survey_drink_type,survey_drink_name,survey_taste_sweet,survey_taste_sour,survey_taste_body,survey_taste_soda,survey_material,survey_alcohole,survey_price,nearest_drinks
96,1,20,1,2,매실주,3,2,3,1,0,10,15000,['추사 블루베리 와인']
97,1,20,0,,,4,3,3,1,0,10,5000,['보리수헤는밤']
98,1,20,0,,,0,0,0,0,0,5,5000,['서설']
99,1,30,1,0,양반안동소주,2,1,2,0,2,5,15000,['단감명작']
100,1,25,0,,,3,3,4,1,1,5,5000,['벗이랑 강황']
101,1,25,1,,다 맞지 않았다,3,0,3,0,0,0,5000,['매실원주']
102,1,25,0,,,3,2,3,0,2,5,5000,['하얀연꽃 백련막걸리']
103,1,35,1,2,고량주,4,3,3,0,0,30,75000,['시나브로 청수 화이트']
104,1,20,0,2,,4,2,2,0,0,5,5000,['자연담은 복분자막걸리']
105,0,25,0,,,0,1,2,0,0,15,45000,['토끼 소주(화이트)']
106,1,25,1,0,,3,3,4,1,2,15,5000,['벗이랑 강황']
107,1,20,1,2,,4,2,3,0,0,10,15000,['복숭아와인']
108,1,25,0,,,3,2,3,1,1,5,15000,['하얀연꽃 백련막걸리']
109,1,20,1,0,막걸리,3,3,3,1,2,15,5000,['민주 허브 막걸리']
110,1,20,0,,,5,2,1,1,0,0,15000,['우주멜론미 스파클링 막걸리']
111,0,30,1,2,기억이 안남,3,2,3,1,0,5,45000,['금풍양조']
112,0,30,1,2,기억이 안남,3,2,3,1,0,5,45000,['금풍양조']
113,0,20,1,0,송명섭 막걸리,0,3,4,1,2,5,15000,['그리움']
114,1,30,1,0,"전주 모주, 제주 땅콩막걸리, 느린마을 막걸리",3,2,3,0,2,0,5000,['하얀연꽃 백련막걸리']
115,0,20,1,3,,3,0,3,0,3,20,45000,['술샘16']
116,0,30,1,0,무안0,3,3,3,0,2,5,5000,['우도 땅콩 전통주']
117,0,25,1,2,리몬첼로,3,4,3,0,0,15,45000,['오메기 맑은술']
118,0,25,1,2,이강주,5,0,0,0,0,0,5000,['우주멜론미 스파클링 막걸리']
119,0,25,1,1,한산소곡주,2,2,3,0,2,15,15000,['양촌 우렁이쌀 약청주']
120,1,40,1,0,장수막걸리,3,3,4,0,2,5,5000,['벗이랑 강황']
121,1,30,1,0,아무거나 마셔도 좋아요,1,1,0,1,2,5,15000,['서설']
122,0,20,0,,,0,1,4,1,0,5,15000,['모리']
123,0,20,1,3,발베니 12년,3,2,4,0,2,40,75000,['동짓달 기나긴 밤']
124,1,40,1,0,장수막걸리 ,3,3,3,0,0,5,5000,['우도 땅콩 전통주']
125,0,25,0,,,3,2,2,0,0,15,5000,['맑은내일 우포']
126,0,20,0,,,2,2,3,0,0,20,75000,['시나브로 청수 화이트']
127,1,25,1,0,유청막걸리,4,2,3,1,0,0,15000,['마크홀리 오리지널 6.0']
128,1,20,0,,,4,1,3,0,0,0,5000,['동래아들']
129,1,25,1,1,,2,2,4,0,1,15,15000,['오산막걸리']
130,0,25,1,0,,5,3,4,0,2,5,5000,['하얀까마귀']
131,0,40,1,3,모월 송명섭(막걸리)  등등,0,3,4,0,2,40,75000,['고리진']
132,0,25,0,,,3,0,2,1,0,5,5000,['매실원주']
133,0,35,1,0, ,4,2,0,1,0,0,5000,['우주멜론미 스파클링 막걸리']
134,1,20,1,2,"화요, 원소주",3,0,3,0,0,20,15000,['술샘16']
135,1,20,0,,,4,3,2,0,0,0,5000,['미르아토 로제와인']
136,1,30,0,,,3,2,4,0,2,0,5000,['감천막걸리']
137,0,25,0,2,,3,3,4,1,0,10,15000,['벗이랑 강황']
138,1,25,1,2,,3,3,4,0,3,30,15000,['청명주']
139,0,25,0,3,화요,0,2,4,0,2,20,15000,['그리움']
140,0,30,1,3,,1,0,2,0,2,15,5000,['서울의 밤 25%']
141,1,25,0,,,4,2,3,0,0,0,15000,['마크홀리 오리지널 6.0']
142,1,25,1,2,이름이 기억안나요.. 복숭아맛이었어요,4,3,1,1,0,10,15000,['매화깊은밤']
143,1,30,0,,,2,2,3,0,2,20,15000,['양촌 우렁이쌀 약청주']
144,0,30,0,,,3,1,3,0,0,15,5000,['김포특주']
145,1,35,1,2,특별히 남는 전통주는 없습니다 ,2,2,4,0,0,10,5000,['오산막걸리']
146,1,25,1,2,모주,2,2,2,1,0,5,5000,['참주가 솔 막걸리']
147,0,40,1,0,유자막걸리,4,2,3,0,0,15,45000,['술아 연화주']
148,0,25,0,3,원소주,1,1,2,1,0,5,5000,['참주가 솔 막걸리']
149,0,30,0,,,3,1,1,0,0,5,15000,['우주멜론미 스파클링 막걸리']
150,0,20,0,,,3,2,4,1,0,0,45000,['금풍양조']
151,0,25,0,,,5,5,5,0,3,40,100000,['샤토미소 아이스와인']
152,0,25,1,0,느린마을 막걸리,3,0,1,1,0,15,5000,['서설']
153,1,30,1,3,추사,4,4,3,0,0,20,15000,['바랑 탁']
154,0,30,1,0,,0,0,1,0,2,15,5000,['여유19']
155,0,20,1,0,모주,2,0,0,1,2,5,5000,['서설']
156,0,20,0,2,,2,3,3,0,0,30,45000,['신선주']
157,1,25,0,,,2,1,1,1,0,10,5000,['서설']
158,0,30,0,,,3,2,2,1,0,0,5000,['대대포 막걸리']
159,0,25,1,3,원소주?,2,2,1,0,0,15,5000,['서설']
160,1,25,0,,,3,1,3,0,0,15,15000,['양촌 우렁이쌀 약청주']
161,0,20,0,,,4,2,3,0,0,10,15000,['복숭아와인']
162,0,30,1,2,풍정사계 춘,3,2,3,0,0,10,5000,['하얀연꽃 백련막걸리']
163,1,30,1,3,증류수 원소주 입니다!,2,0,2,0,0,10,5000,['술샘19']
164,1,20,1,0,,3,0,2,0,2,15,5000,['매실원주']
165,0,25,1,0,비아막걸리,4,1,3,1,2,5,5000,['동래아들']
166,1,20,1,3,밤막걸리,4,1,5,1,2,15,15000,['한산소곡주']
167,1,20,0,,,4,2,3,1,0,0,5000,['DOK막걸리']
168,0,30,0,,,2,3,3,0,0,10,75000,['산머루 크라테 드라이']
169,1,25,0,,,3,0,3,1,0,5,15000,['매실원주']
170,0,40,1,0,막걸리 ,3,2,2,1,2,5,5000,['대대포 막걸리']
171,1,25,0,,,3,3,3,1,0,15,15000,['민주 허브 막걸리']
172,0,30,1,2,추사,2,3,5,0,2,40,45000,['동짓달 기나긴 밤']
173,0,35,1,3,경도막걸리 ,3,1,2,1,2,10,5000,['맑은내일 우포']
174,0,25,1,0,땅콩 막거리,4,3,4,0,2,10,15000,['지란지교']
175,1,30,1,0,,2,3,4,0,2,20,15000,['벗이랑 강황']
176,1,20,0,,,3,2,3,1,0,10,15000,['추사 블루베리 와인']
177,1,25,1,3,도래하,0,0,3,0,2,15,5000,['모리']
178,0,30,1,0,기억안남,3,2,2,1,2,5,45000,['허니문']
179,0,25,1,3,화요 53도,2,2,4,0,2,40,45000,['담솔']
180,0,20,0,,,2,3,2,0,0,15,15000,['오롯이 복숭아']
181,0,30,0,,,0,0,0,0,2,10,5000,['서설']
182,1,20,0,3,,3,0,2,0,0,20,45000,['오매락']
183,0,25,1,,기억이안남,4,2,3,1,0,10,5000,['DOK막걸리']
184,1,20,1,2,복분자주,4,3,3,1,0,5,5000,['보리수헤는밤']
185,0,20,1,0,무등산 막걸리,3,3,3,1,0,5,15000,['우도 땅콩 전통주']
186,1,25,1,1,일엽편주,4,2,2,0,1,0,45000,['허니비']
187,0,30,1,2,복숭아 와인,4,3,3,0,0,10,45000,['오가피와인']
188,0,30,1,1,과하주,4,4,3,0,3,20,15000,['바랑 탁']
189,0,30,1,2,머루와인,4,1,2,1,2,5,15000,['자연담은 복분자막걸리']
190,0,25,1,1,이상헌약주,3,1,4,0,2,15,15000,['벗이랑 버찌 홍국']
191,0,25,1,3,풍정사계,4,3,3,0,3,15,15000,['추사 애플와인']
192,0,25,0,,,0,0,0,0,0,5,5000,['서설']
193,0,35,0,,,0,0,0,1,0,0,5000,['서설']
194,0,30,0,2,스파클링 와인...?,4,3,3,1,0,10,15000,['만강에 비친 달']
195,0,30,0,,,0,0,0,1,4,0,5000,['서설']
196,0,30,0,,,3,2,3,1,0,15,5000,['김포특주']
197,1,35,0,,,3,0,2,1,0,10,15000,['매실원주']
198,0,25,0,,,3,2,3,0,0,15,5000,['김포특주']
199,0,25,1,0,삼호막걸리,4,3,3,1,2,10,5000,['보리수헤는밤']
200,0,30,0,,,1,1,4,0,0,20,45000,['세종대왕어주 약청주']
201,0,25,0,,,3,1,1,1,0,10,5000,['우주멜론미 스파클링 막걸리']
202,1,25,0,,,3,0,0,0,0,0,15000,['우주멜론미 스파클링 막걸리']
203,0,30,1,3,토끼,2,0,1,0,0,30,45000,['오매락']
204,0,25,1,3,려,1,1,4,0,2,20,75000,['세종대왕어주 약청주']
205,1,20,0,,,3,1,2,1,0,5,15000,['별산오디 스파클링 막걸리']
206,1,30,1,0,지역별 막걸리 다수(상세명 기억 안남),4,3,3,1,0,5,15000,['보리수헤는밤']
207,1,20,0,,,2,0,3,0,0,15,5000,['술샘19']
208,1,30,1,3,화요 / 근데 한국 술만 골라야되나요? 위스키 다 전통주 아닌가,1,1,3,0,2,40,15000,['병영소주']
209,0,30,1,0,부자막걸리,2,2,3,0,0,15,5000,['김포특주']
210,0,25,1,3,화요,4,3,2,0,0,5,5000,['매화깊은밤']
211,0,35,1,2,,3,2,2,1,0,5,5000,['대대포 막걸리']
212,0,30,0,,,3,0,4,0,0,15,5000,['매실원주']
213,0,20,1,3,기억안나요~,3,2,4,1,0,20,45000,['동짓달 기나긴 밤']
214,0,25,1,0,,0,0,2,0,3,15,5000,['여유19']
215,0,25,0,,,3,3,3,1,0,0,5000,['애피소드 상그리아']
216,1,20,1,3,화요 일품진로  닷사이,3,2,3,0,0,15,75000,['시나브로 청수 화이트']
217,0,25,1,0,호랑이배꼽 막걸리,4,1,3,1,2,0,5000,['동래아들']
218,1,30,1,3,진도홍주,3,1,3,0,3,0,15000,['동래아들']
219,0,25,1,2,예산사과와인,3,4,1,1,0,0,15000,['얼떨결에 퍼플']
