이름,종류,도수,유통기한,보관방법,추천음식,단맛,여운,바디,씁쓸,산미,탄산,탄닌,가격,,,,,,,,
편백숲 산소막걸리 딸기 스파클링,탁주,6.8,제조일로부터 30일,냉장 보관,"삼겹살, 양고기, 홍어 무침",4,0,3,2,4,5,0,15000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/u765-1642776242438-1.jpg,,,,,,,
편백숲 산소막걸리,탁주,6.8,제조일로부터 30일,냉장 보관,"삼겹살, 양고기, 홍어 무침",4,0,3,2,4,5,0,,,,,,,,,
꿀막걸리,탁주,6,제조일로부터 30일,냉장 보관,"양념 치킨, 불닭볶음면, 떡볶이",3,0,2,1,2,0,0,,,,,,,,,
소여강,증류식소주,25,유통기한 없음,상온 보관 가능,"삼치구이, 소갈비살 구이, 숯불 닭갈비",0,2,3,0,0,0,0,23000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/TbUW-1682474166570-%EC%8D%B8%EB%84%A4%EC%9D%BC-2.jpg,,,,,,,
소여강 25%,증류식소주,25,유통기한 없음,상온 보관 가능,"삼치구이, 소갈비살 구이, 숯불 닭갈비",0,2,3,0,0,0,0,,,,,,,,,
오크와인,과실주,10.5,유통기한 없음,직사광선을 피해 서늘한 곳에 보관,"과일 샐러드, 고르곤졸라 피자, 흰살생선회",4,0,2,0,3,0,0,,,,,,,,,
헤베,과실주,9,유통기한 없음,상온 보관 가능,"막국수, 고르곤졸라 피자, 초밥",2,0,2,0,4,2,2,5400,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/JwSj-1625725692969-%ED%97%A4%EB%B2%A0-5.png,,,,,,,
불소곡주,일반증류주,41,유통기한 없음,상온 보관 가능,"조개구이, 산낙지, 불고기",0,3,3,0,0,0,0,,,,,,,,,
한산소곡주,약주,16,제조일로부터 180일,냉장 보관,"샤브샤브, 제육 볶음, 약과",4,0,4,3,2,0,0,11000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/xhxs-1657767046056-00.jpg,,,,,,,
불소주,증류식소주,25,유통기한 없음,상온 보관 가능,"불고기, 두부김치, 감자조림",0,3,3,0,0,0,0,,,,,,,,,
한주,증류식소주,35,유통기한 없음,상온 보관 가능,"비빔밥, 호박전, 된장찌개",0,3,3,0,0,0,0,14800,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/GGpp-1673413861922-1.jpg,,,,,,,
해남진양주,약주,16,제조일로부터 1년,냉장 보관,"떡갈비, 고구마 피자, 뚝배기 불고기",3,0,3,3,4,0,0,15000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/05eU-1687315619652-%7F%7F%7F.jpg,,,,,,,
세인트하우스 모과와인,과실주,12,유통기한 없음,냉장 보관,"과일치즈, 문어 숙회, 생선회",4,0,2,0,4,0,3,23000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/IFuv-1659320945820-0.jpg,,,,,,,
해창 막걸리 9도,탁주,9,제조일로부터 30일,냉장 보관,"모듬전, 도토리묵 무침, 두부김치",2,0,3,2,3,0,0,12000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/pOrG-1684403153190-thumb.jpg,,,,,,,
냥이탁주 9도,2일 이내 배송,,,,,,,,,,,,,,,,,,,,
냥이탁주 fresh,2일 이내 배송,,,,,,,,,,,,,,,,,,,,
