이름,종류,도수,유통기한,보관방법,추천음식,단맛,여운,바디,씁쓸,산미,탄산,탄닌,가격,,,,,,,,
토끼 소주(블랙),증류식소주,40,유통기한 없음,상온 보관 가능,"크림 새우, 양꼬치, 꿔바로우",0,4,4,0,0,0,0,40000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/4wI9-1680502918953-rabbit+black+%282%29.jpg,,,,,,,
냥이탁주 화이트,탁주,10.5,제조일로부터 60일,냉장 보관,"메밀소바, 삼치구이, 백순대 볶음",3,0,3,1,3,0,0,10000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/ROi5-1674798733152-1.jpg,,,,,,,
대대포 막걸리,탁주,6,제조일로부터 30일,냉장 보관,"양념 치킨, 불닭볶음면, 떡볶이",3,0,2,1,2,0,0,3800,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/6GX6-1629348033497-%EB%8C%80%EB%8C%80%ED%8F%AC_%EA%B8%B0%EC%A1%B4%EB%9D%BC%EB%B2%A8-2.jpg,,,,,,,
진맥소주 22%,증류식소주,22,유통기한 없음,상온 보관 가능,"떡갈비, 수육, 전어회",0,2,3,0,0,0,0,22000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/Jbzv-1625726727776-%EC%A7%84%EB%A7%A522-4.png,,,,,,,
볼빨간막걸리 10,탁주,10,제조일로부터 60일,냉장 보관,"맥앤치즈, 돼지국밥, 닭곰탕",2,0,4,1,4,0,0,8000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/RcYR-1652435657056-1.jpg,,,,,,,
백이주,,,,,,,,,,,,,,,,,,,,,
밀담40,일반증류주,40,유통기한 없음,상온 보관 가능,"아몬드, 치즈플레이트, 파인애플",0,3,4,0,0,0,0,19900,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/r9a3-1653530958733-mildam40_thumbnail.jpg,,,,,,,
라봉,탁주,5.5,제조일로부터 30일,냉장 보관,"짜장면, 크림 파스타, 피자",2,0,2,1,4,4,0,6000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/rmuu-1658114538962-1.jpg,,,,,,,
참주가 솔 막걸리,탁주,5.5,제조일로부터 30일,냉장 보관,"삼계탕, 버섯구이, 차돌박이 숙주 찜",2,0,2,1,2,3,0,2500,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/ZXLH-1658114487703-1.jpg,,,,,,,
진도 백주,일반증류주,38,유통기한 없음,상온 보관 가능,"까르보나라, 크림 새우, 크림 뇨끼",0,4,4,0,0,0,0,23000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/UTA6-1682479792760-%EC%8D%B8%EB%84%A4%EC%9D%BC-2.jpg,,,,,,,
