survey_num,survey_gender,survey_age,survey_exp,survey_taste_type,survey_taste_sweet,survey_taste_sour,survey_taste_body,survey_taste_soda,survey_alcohole,survey_price,survey_drink_answer
258,1,20,1,0,3,3,3,0,10,5000,냥이탁주9
259,0,25,0,0,5,5,5,0,0,5000,별산막걸리
260,1,20,1,2,4,2,3,0,10,15000,복숭아와인
261,0,20,0,1,3,1,3,0,15,5000,김포특주
262,1,20,1,0,2,2,3,0,10,5000,백련 미스티 살균 막걸리
263,1,25,1,1,3,2,3,0,15,15000,제주 오메기 맑은 술
264,1,20,1,0,4,1,3,0,10,15000,동래아들
265,1,20,1,0,3,1,4,0,15,15000,벗이랑 버찌 홍국
266,0,35,1,2,3,2,4,0,15,75000,시나브로 청수 화이트
267,0,25,1,1,1,1,3,0,20,5000,우렁이쌀 청주
268,1,40,0,0,3,1,2,1,5,15000,별산오디 스파클링 막걸리
269,1,20,0,2,4,4,1,0,0,5000,고도리 복숭아와인
270,1,40,1,0,3,3,4,0,15,5000,벗이랑 강황
271,1,25,1,0,2,3,4,0,15,15000,벗이랑 강황
272,0,25,0,0,3,2,3,0,5,15000,백련 미스티 살균 막걸리
273,1,25,1,0,4,2,2,0,0,5000,자연담은 복분자막걸리
274,1,20,1,1,2,1,3,0,20,15000,우렁이쌀 청주
275,0,20,1,1,3,1,2,0,15,15000,우포
276,0,25,1,1,2,2,2,0,15,15000,녹파주
277,0,20,0,2,3,2,3,0,10,15000,추사 블루 스위트
278,1,25,1,3,3,0,4,0,5,15000,매실원주
279,1,25,1,1,3,2,3,0,15,15000,제주 오메기 맑은 술
280,1,30,0,2,3,2,3,0,10,15000,추사 블루 스위트
281,1,40,0,1,3,0,0,0,20,5000,서설
282,0,25,1,1,1,3,4,0,15,15000,그리움
283,0,25,0,1,2,3,3,0,30,45000,청주신선주 약주 16%
284,0,30,1,1,3,1,2,0,10,5000,우포
285,1,25,1,1,2,1,3,0,15,5000,우렁이쌀 청주
286,0,20,1,0,3,3,3,0,15,5000,민주 허브 막걸리
287,0,30,1,0,3,3,4,0,40,5000,양지백주
288,0,25,1,0,4,3,3,0,10,15000,만강에 비친 달
289,0,30,0,1,0,0,0,0,0,5000,서설
290,0,30,0,1,4,3,3,0,5,15000,보리수헤는밤
291,0,35,1,0,3,1,2,0,5,5000,대대포 막걸리
292,1,25,0,1,2,2,3,0,20,15000,우렁이쌀 청주
293,0,35,1,1,2,2,3,0,20,15000,우렁이쌀 청주
294,1,20,0,0,4,3,3,0,10,15000,만강에 비친 달
295,1,30,0,2,4,3,2,1,5,15000,미르아토 로제와인
296,0,25,0,0,4,0,0,1,0,15000,우주멜론미 스파클링 막걸리
297,1,20,1,3,2,0,4,0,40,100000,고리진
298,0,35,0,0,4,2,3,0,0,5000,DOK막걸리
299,0,25,1,2,3,2,3,0,10,15000,추사 블루 스위트
300,1,20,0,1,3,1,3,0,15,15000,우렁이쌀 청주
301,0,25,1,0,3,2,4,0,20,15000,벗이랑 버찌 홍국
302,1,20,0,0,4,2,0,1,0,5000,우주멜론미 스파클링 막걸리
303,1,20,1,1,3,2,2,0,10,5000,우포
304,1,25,1,0,4,1,2,0,0,15000,자연담은 복분자막걸리
305,1,40,0,2,5,5,5,0,30,100000,샤토미소 아이스와인
306,0,25,1,2,3,3,3,0,5,45000,시나브로 청수 화이트
307,0,25,0,0,3,0,0,1,5,15000,우주멜론미 스파클링 막걸리
308,0,30,1,2,3,4,4,0,10,5000,홍시와인
309,1,30,0,0,5,3,4,0,10,15000,지란지교
310,0,25,0,0,2,2,4,0,20,15000,벗이랑 버찌 홍국
311,1,30,0,0,1,4,5,0,20,15000,볼빨간막걸리 10
312,0,40,1,3,0,1,3,0,20,15000,이도 22
313,0,20,1,0,3,2,3,0,5,5000,백련 미스티 살균 막걸리
314,0,25,1,1,1,0,1,0,15,5000,서설
315,0,30,1,0,3,3,4,0,5,5000,벗이랑 강황
316,0,25,1,3,1,0,3,0,15,5000,모리
317,0,30,1,0,4,3,4,0,20,5000,지란지교
318,0,25,0,0,4,0,0,1,5,5000,우주멜론미 스파클링 막걸리
319,0,20,0,0,3,1,3,0,10,5000,백련 미스티 살균 막걸리
320,1,25,1,3,0,1,4,0,10,45000,메밀로
321,0,25,1,2,1,3,4,0,30,45000,그랑꼬또 청수
322,0,25,1,0,4,2,2,0,5,5000,자연담은 복분자막걸리
323,0,30,1,0,2,3,1,1,15,5000,선호 생막걸리
324,0,25,0,1,4,1,3,0,20,45000,술아 순곡주
325,0,25,1,0,2,3,4,0,15,5000,벗이랑 강황
326,0,25,1,1,2,1,4,0,15,45000,세종대왕어주 약주
327,1,20,0,2,4,4,2,0,5,15000,고도리 복숭아와인
328,1,20,0,0,5,0,0,1,0,5000,우주멜론미 스파클링 막걸리
329,1,20,1,2,3,3,2,0,10,5000,조은술 세종 바나나
330,1,40,1,0,4,3,4,0,10,15000,지란지교
331,1,35,1,0,2,2,2,0,10,5000,민주 포도 막걸리
332,0,20,1,1,3,2,2,0,15,5000,우포
333,0,25,1,2,1,3,3,0,15,100000,산머루 크라테 드라이
334,0,25,0,2,4,4,1,0,40,45000,장수 오미자주
335,0,25,1,3,3,0,3,0,30,75000,이강주 25%
336,0,25,0,3,1,1,2,0,15,5000,서울의 밤 25%
337,1,30,0,0,3,1,3,0,0,5000,동래아들
338,0,20,1,3,2,2,3,0,40,75000,아리아리 40%
339,0,30,0,1,3,3,2,0,20,15000,감사
340,0,25,1,0,2,2,2,1,0,5000,참주가 솔 막걸리
341,1,30,1,0,4,2,1,1,0,5000,우주멜론미 스파클링 막걸리
342,1,20,1,0,3,3,4,0,15,15000,벗이랑 강황
343,0,25,1,0,3,2,4,0,10,5000,붉은 원숭이
344,0,30,0,3,1,1,1,0,30,45000,토끼 소주(화이트)
345,1,20,0,1,2,1,3,0,15,15000,우렁이쌀 청주
346,0,25,0,0,2,2,3,0,15,45000,금풍양조
347,1,25,1,0,3,2,4,0,5,5000,감천막걸리
348,1,20,0,0,4,2,1,1,0,5000,우주멜론미 스파클링 막걸리
349,1,20,1,1,3,1,3,0,15,15000,우렁이쌀 청주
350,1,30,1,1,1,3,3,0,10,15000,그리움
351,0,30,0,1,0,0,0,0,0,5000,서설
352,1,30,1,1,0,2,4,0,10,15000,그리움
353,1,25,0,0,3,2,4,0,15,5000,벗이랑 버찌 홍국
354,0,25,0,0,3,2,2,0,5,5000,대대포 막걸리
355,1,20,1,3,3,0,2,0,30,45000,오매락
356,0,35,1,0,3,2,3,0,10,5000,백련 미스티 살균 막걸리
357,0,25,0,1,4,2,4,0,5,15000,술아 국화주
358,0,20,1,0,3,2,4,0,20,15000,벗이랑 버찌 홍국
359,1,30,1,3,3,0,3,0,5,5000,매실원주
360,1,30,0,1,4,2,3,0,20,15000,술아 순곡주
361,0,30,1,2,3,3,4,0,15,100000,시나브로 청수 화이트
362,1,40,1,2,5,5,5,0,40,100000,샤토미소 아이스와인
363,0,20,1,2,3,3,2,1,0,5000,애피소드 애플
364,1,20,0,0,3,2,4,0,10,9000,술취한 원숭이
365,0,25,1,0,3,1,4,0,10,9000,술취한 원숭이
366,1,20,0,1,3,0,1,0,10,15000,서설
367,0,25,0,3,3,0,4,0,10,6200,매실원주
368,0,35,1,0,4,1,3,0,10,4000,동래아들
369,0,30,0,3,3,0,3,0,5,6200,매실원주
370,0,30,0,1,0,0,0,0,5,15000,서설
371,1,40,0,2,3,1,2,0,10,35000,허니문
372,1,20,0,3,4,0,0,0,40,16000,오매락
373,0,30,1,0,3,3,4,0,10,12000,벗이랑 강황
374,0,25,0,1,2,2,3,0,20,3600,김포특주
375,0,25,0,3,2,1,3,0,30,13000,이강주 25%
376,0,25,1,1,3,1,2,0,20,10000,우포
377,1,35,0,3,5,0,3,0,5,25000,원매
378,1,25,0,1,1,0,0,0,20,15000,서설
379,0,25,0,0,5,1,0,1,5,6000,우주멜론미 스파클링 막걸리
380,1,20,0,0,4,1,3,0,10,4000,동래아들
381,0,20,0,1,2,2,2,0,20,20000,하타
382,1,20,0,0,3,2,4,0,10,9000,술취한 원숭이
383,1,20,0,3,3,1,2,0,40,16000,오매락
384,1,20,1,3,4,0,4,0,10,28000,아이엠더문
385,1,40,1,1,2,1,3,0,20,16000,우렁이쌀 청주
386,1,20,1,0,5,1,1,1,10,6000,우주멜론미 스파클링 막걸리
387,1,20,0,0,3,0,2,1,5,50000,말이야 막걸리야
388,1,25,0,2,3,2,3,0,10,22000,추사 블루 스위트
389,0,20,0,3,5,0,5,0,40,28000,아이엠더문
390,0,20,0,2,3,1,2,0,10,35000,허니문
391,1,30,0,3,4,0,3,0,10,12000,꿀샘 16
392,1,20,0,1,4,2,5,0,30,11000,한산소곡주
393,1,20,0,0,2,1,2,1,10,50000,말이야 막걸리야
394,1,20,0,2,3,1,2,0,10,35000,허니문
395,1,20,0,0,4,2,1,1,10,6000,우주멜론미 스파클링 막걸리
396,1,25,0,3,5,0,5,0,5,28000,아이엠더문
397,1,30,1,1,5,2,4,0,5,21000,술아 국화주
398,1,20,0,0,3,3,3,0,5,4000,우도 땅콩 전통주
399,0,30,1,1,1,0,3,0,5,16000,우렁이쌀 청주
400,0,25,0,3,2,0,3,0,5,6200,매실원주
401,0,25,1,2,1,4,4,0,40,61500,그랑꼬또 청수
402,0,25,0,1,2,1,1,0,10,15000,서설
403,0,40,1,1,3,2,1,0,20,10000,우포
404,0,35,0,1,1,2,3,0,30,20000,그리움
405,1,20,0,2,3,3,3,0,10,20000,고도리 화이트와인 스위트
406,1,20,0,0,4,3,3,0,10,16000,만강에 비친 달
407,1,20,1,3,0,0,3,0,40,22000,병영소주
408,1,30,0,3,3,0,3,0,10,6200,매실원주
409,1,25,1,1,3,3,3,0,20,17500,삼양춘 청주
410,0,20,0,3,2,0,3,0,30,13000,이강주 25%
411,1,30,0,2,3,1,2,0,10,35000,허니문
412,0,40,0,0,2,3,3,0,10,12000,해창 막걸리 9도
413,1,25,1,1,3,1,4,0,30,33000,세종대왕어주 약주
414,1,20,0,3,5,0,3,0,20,25000,원매
415,0,20,0,1,2,1,0,0,5,15000,서설
416,1,20,0,0,4,1,3,0,10,4000,동래아들
417,1,25,0,1,0,4,3,0,30,13500,능이주
418,1,20,0,2,4,2,2,0,20,12000,"제주, 동백"
419,1,35,0,2,5,2,1,0,20,12000,"제주, 동백"
420,0,25,0,1,3,2,0,0,20,15000,서설
421,1,30,0,0,3,1,2,0,5,3800,대대포 막걸리
422,0,25,1,1,3,2,3,0,30,21000,술아 순곡주
423,1,25,0,1,2,0,4,0,10,33000,세종대왕어주 약주
424,0,25,0,2,3,3,3,0,10,20000,고도리 화이트와인 스위트
425,0,35,0,0,5,0,0,1,5,6000,우주멜론미 스파클링 막걸리
426,0,25,0,2,3,4,2,0,12,38000,초선의 꿈 로제와인
427,0,20,0,0,4,0,0,1,10,6000,우주멜론미 스파클링 막걸리
428,0,35,1,3,5,0,3,0,5,25000,원매
429,0,35,1,1,4,2,5,0,30,11000,한산소곡주
430,0,25,0,2,3,2,3,0,10,22000,추사 블루 스위트
431,0,25,1,2,5,5,0,0,10,23000,세인트하우스 모과와인
432,0,25,0,1,1,2,4,0,30,33000,세종대왕어주 약주
